,8.4,-31.1,48.9,,,183.2,13.9,,1017.1,
1953-07-17,18.2,12.9,22.4,0.5,,,,,,
1953-07-18,19.1,13.5,24.2,,,,,,,
1953-07-19,21.0,13.7,27.1,,,,,,,
1953-07-20,24.6,16.3,30.9,,,,,,,
1953-07-21,20.8,15.7,30.2,0.1,,,,,,
1953-07-22,18.2,11.6,24.1,0.2,,,,,,
1953-07-23,19.9,12.2,25.8,,,,,,,
1953-07-24,22.1,14.1,29.2,,,,,,,
1953-07-25,23.6,16.2,30.3,,,,,,,
1953-07-26,20.3,13.2,25.4,,,,,,,
1953-07-27,20.4,11.9,27.4,,,,,,,
1953-07-28,24.0,15.3,31.1,,,,,,,
1953-07-29,24.8,17.4,31.6,,,,,,,
1953-07-30,23.9,17.2,29.5,,,,,,,
1953-07-31,27.2,19.7,34.0,,,,,,,
1953-08-01,26.7,24.3,33.5,,,,,,,
1953-08-02,25.7,15.2,33.8,12.0,,,,,,
1953-08-03,21.8,15.6,26.9,,,,,,,
1953-08-04,21.5,12.8,26.7,,,,,,,
1953-08-05,20.2,12.2,27.7,,,,,,,
1953-08-06,18.3,10.1,25.7,,,,,,,
1953-08-07,17.1,14.2,22.6,2.3,,,,,,
1953-08-08,15.7,10.5,20.8,,,,,,,
1953-08-09,17.0,12.2,23.5,,,,,,,
1953-08-10,17.9,10.1,24.3,,,,,,,
1953-08-11,18.6,10.9,25.1,,,,,,,
1953-08-12,18.6,11.3,27.2,,,,,,,
1953-08-13,17.5,11.9,23.5,,,,,,,
1953-08-14,18.1,10.6,25.3,,,,,,,
1953-08-15,18.8,14.5,24.5,14.3,,,,,,
1953-08-16,18.4,12.3,25.0,,,,,,,
1953-08-17,19.4,12.2,27.3,0.1,,,,,,
1953-08-18,20.3,13.0,27.7,,,,,,,
1953-08-19,20.4,13.0,27.1,,,,,,,
1953-08-20,21.2,13.8,28.6,,,,,,,
1953-08-21,21.7,14.7,27.9,,,,,,,
1953-08-22,22.5,14.0,29.9,,,,,,,
1953-08-23,23.4,15.7,29.7,,,,,,,
1953-08-24,24.5,15.5,31.1,,,,,,,
1953-08-25,24.3,15.7,31.3,,,,,,,
1953-08-26,24.0,15.3,31.1,,,,,,,
1953-08-27,23.6,14.3,31.6,,,,,,,
1953-08-28,23.4,16.2,29.7,,,,,,,
1953-08-29,24.3,15.9,31.3,,,,,,,
1953-08-30,21.9,16.7,27.5,,,,,,,
1953-08-31,19.6,11.7,26.8,,,,,,,
1953-09-01,19.9,16.7,26.3,,,,,,,
1953-09-02,14.7,8.9,20.7,,,,,,,
1953-09-03,14.5,7.4,22.4,,,,,,,
1953-09-04,18.1,10.3,25.6,,,,,,,
1953-09-05,19.5,14.6,25.4,,,,,,,
1953-09-06,13.6,11.3,19.8,20.7,,,,,,
1953-09-07,8.4,6.5,11.8,3.2,,,,,,
1953-09-08,8.8,3.5,13.8,,,,,,,
1953-09-09,12.9,10.0,18.4,0.1,,,,,,
1953-09-10,17.2,10.2,25.6,,,,,,,
1953-09-11,19.6,14.9,28.1,0.6,,,,,,
1953-09-12,17.6,10.2,26.6,,,,,,,
1953-09-13,12.1,10.2,22.0,6.0,,,,,,
1953-09-14,11.8,9.9,16.1,7.5,,,,,,
1953-09-15,8.6,6.5,14.7,3.4,,,,,,
1953-09-16,7.8,4.5,13.3,,,,,,,
1953-09-17,8.5,4.9,13.0,0.5,,,,,,
1953-09-18,10.1,8.4,14.5,,,,,,,
1953-09-19,11.0,4.4,18.6,0.2,,,,,,
1953-09-20,14.1,7.2,21.3,,,,,,,
1953-09-21,14.8,8.3,22.5,,,,,,,
1953-09-22,16.4,8.4,23.8,,,,,,,
1953-09-23,15.4,10.2,20.5,,,,,,,
1953-09-24,14.6,9.5,20.5,,,,,,,
1953-09-25,15.2,8.7,22.8,0.1,,,,,,
1953-09-26,15.0,12.6,19.4,4.1,,,,,,
1953-09-27,12.4,7.2,18.5,0.3,,,,,,
1953-09-28,11.0,8.9,15.5,0.4,,,,,,
1953-09-29,8.2,2.5,14.8,,,,,,,
1953-09-30,9.1,4.3,15.1,,,,,,,
1953-10-01,11.3,6.5,18.6,,,,,,,
1953-10-02,15.6,8.7,22.1,,,,,,,
1953-10-03,13.3,11.2,20.0,0.2,,,,,,
1953-10-04,11.0,4.3,18.4,,,,,,,
1953-10-05,14.6,11.4,18.7,,,,,,,
1953-10-06,11.2,8.4,16.2,6.7,,,,,,
1953-10-07,7.1,5.0,10.7,,,,,,,
1953-10-08,5.4,2.0,9.0,,,,,,,
1953-10-09,5.0,1.7,9.1,,,,,,,
1953-10-10,4.8,2.9,8.4,,,,,,,
1953-10-11,5.8,1.2,13.1,,,,,,,
1953-10-12,8.4,2.1,15.5,,,,,,,
1953-10-13,9.2,2.7,17.4,,,,,,,
1953-10-14,10.2,5.8,14.7,,,,,,,
1953-10-15,8.8,4.0,13.7,,,,,,,
1953-10-16,10.6,8.4,13.0,,,,,,,
1953-10-17,13.3,10.7,16.2,,,,,,,
1953-10-18,11.8,9.4,15.0,,,,,,,
1953-10-19,7.8,7.2,11.2,,,,,,,
1953-10-20,6.8,5.7,8.2,,,,,,,
1953-10-21,6.0,4.9,7.2,0.3,,,,,,
1953-10-22,4.1,3.4,5.7,,,,,,,
1953-10-23,6.6,3.6,9.5,0.7,,,,,,
1953-10-24,6.6,2.9,10.2,,,,,,,
1953-10-25,3.4,0.5,7.6,,,,,,,
1953-10-26,3.7,0.9,7.8,,,,,,,
1953-10-27,1.3,-4.5,7.7,,,,,,,
1953-10-28,0.7,-5.5,7.8,,,,,,,
1953-10-29,3.6,-2.0,10.4,,,,,,,
1953-10-30,-3.2,-6.6,6.6,,,,,,,
1953-10-31,-4.6,-5.3,-3.5,,,,,,,
1953-11-01,-2.8,-8.1,2.1,,,,,,,
1953-11-02,0.1,-2.6,5.1,,,,,,,
1953-11-03,-3.7,-9.7,4.9,,,,,,,
1953-11-04,-2.9,-6.5,1.0,,,,,,,
1953-11-05,-3.7,-8.8,2.6,,,,,,,
1953-11-06,-3.0,-7.6,1.7,,,,,,,
1953-11-07,-3.6,-5.6,-0.2,,,,,,,
1953-11-08,-6.6,-11.1,-1.7,,,,,,,
1953-11-09,-4.4,-10.1,3.5,,,,,,,
1953-11-10,-2.2,-7.0,5.5,,,,,,,
1953-11-11,-0.9,-5.7,2.4,,,,,,,
1953-11-12,1.6,0.4,2.5,,,,,,,
1953-11-13,2.6,-0.8,5.7,,,,,,,
1953-11-14,4.0,1.3,7.4,,,,,,,
1953-11-15,-0.6,-4.6,4.6,,,,,,,
1953-11-16,-1.6,-3.4,-1.0,8.1,,,,,,
1953-11-17,-1.9,-2.7,-0.9,6.2,,,,,,
1953-11-18,-3.3,-4.5,-0.9,1.1,,,,,,
1953-11-19,-5.7,-9.2,-3.3,,,,,,,
1953-11-20,-5.5,-12.6,0.7,,,,,,,
1953-11-21,-0.9,-4.7,0.8,,,,,,,
1953-11-22,-2.0,-3.1,0.3,0.2,,,,,,
1953-11-23,-7.0,-9.9,-2.8,0.3,,,,,,
1953-11-24,-10.4,-12.6,-8.5,,,,,,,
1953-11-25,-16.6,-20.9,-12.0,,,,,,,
1953-11-26,-13.3,-15.5,-10.5,2.6,,,,,,
1953-11-27,-11.8,-14.9,-9.0,,,,,,,
1953-11-28,-10.6,-16.6,-6.0,,,,,,,
1953-11-29,-4.2,-8.3,0.7,,,,,,,
1953-11-30,1.3,-0.1,2.1,0.7,,,,,,
1953-12-01,2.0,0.5,3.8,4.0,,,,,,
1953-12-02,2.6,1.4,4.6,,,,,,,
1953-12-03,2.6,1.3,3.7,,,,,,,
1953-12-04,4.2,1.2,9.2,,,,,,,
1953-12-05,2.9,-0.3,6.5,,,,,,,
1953-12-06,2.2,-1.0,5.5,,,,,,,
1953-12-07,-0.8,-2.7,0.7,,,,,,,
1953-12-08,-1.2,-4.0,0.7,,,,,,,
1953-12-09,-1.6,-4.6,2.0,,,,,,,
1953-12-10,-0.7,-3.6,2.1,,,,,,,
1953-12-11,-2.4,-5.1,0.5,,,,,,,
1953-12-12,-6.7,-9.9,-4.3,,,,,,,
1953-12-13,-6.8,-8.6,-4.1,,,,,,,
1953-12-14,-4.0,-6.5,-2.2,,,,,,,
1953-12-15,-5.2,-7.1,-1.4,,,,,,,
1953-12-16,-6.0,-7.7,-4.0,,,,,,,
1953-12-17,-7.6,-9.5,-6.1,,,,,,,
1953-12-18,-7.6,-8.5,-6.0,0.1,,,,,,
1953-12-19,-8.7,-9.6,-7.0,,,,,,,
1953-12-20,-7.8,-11.5,-6.5,,,,,,,
1953-12-21,-11.4,-13.7,-7.5,0.2,,,,,,
1953-12-22,-13.4,-15.1,-9.0,0.3,,,,,,
1953-12-23,-10.2,-11.5,-9.0,0.2,,,,,,
1953-12-24,-10.3,-14.3,-8.0,0.3,,,,,,
1953-12-25,-16.0,-18.6,-12.9,1.2,,,,,,
1953-12-26,-19.2,-23.0,-14.7,0.2,,,,,,
1953-12-27,-20.2,-22.7,-17.4,,,,,,,
1953-12-28,-12.0,-18.7,-7.7,0.5,,,,,,
1953-12-29,-5.1,-8.5,-3.5,2.2,,,,,,
1953-12-30,-5.1,-7.1,-4.0,,,,,,,
1953-12-31,-5.0,-7.1,-3.3,0.8,,,,,,
1954-01-01,-12.0,-14.3,-6.5,0.5,,,,,,
1954-01-02,-17.2,-19.0,-13.3,,,,,,,
1954-01-03,-19.9,-22.4,-17.0,,,,,,,
1954-01-04,-14.2,-20.0,-10.7,0.9,,,,,,
1954-01-05,-15.0,-21.0,-12.0,,,,,,,
1954-01-06,-17.7,-20.8,-10.6,0.1,,,,,,
1954-01-07,-18.0,-24.0,-12.1,0.6,,,,,,
1954-01-08,-11.5,-14.0,-9.6,0.8,,,,,,
1954-01-09,-14.5,-17.1,-12.5,0.3,,,,,,
1954-01-10,-15.7,-20.8,-13.2,0.6,,,,,,
1954-01-11,-11.9,-17.1,-8.8,2.9,,,,,,
1954-01-12,-7.9,-10.8,-4.5,4.9,,,,,,
1954-01-13,-14.7,-17.6,-10.6,1.6,,,,,,
1954-01-14,-22.4,-25.8,-17.3,,,,,,,
1954-01-15,-22.2,-26.5,-18.1,,,,,,,
1954-01-16,-19.0,-25.8,-9.9,1.1,,,,,,
1954-01-17,0.2,-10.0,2.0,1.8,,,,,,
1954-01-18,-1.9,-3.9,2.0,,,,,,,
1954-01-19,-5.1,-8.8,-0.5,0.3,,,,,,
1954-01-20,-8.6,-10.5,-5.6,,,,,,,
1954-01-21,-8.4,-11.9,-5.7,3.4,,,,,,
1954-01-22,-9.0,-13.1,-6.0,1.2,,,,,,
1954-01-23,-15.4,-18.6,-12.5,,,,,,,
1954-01-24,-20.4,-24.2,-14.8,0.1,,,,,,
1954-01-25,-15.9,-24.6,-9.5,2.8,,,,,,
1954-01-26,-18.6,-22.0,-12.2,0.6,,,,,,
1954-01-27,-21.5,-24.1,-18.7,0.1,,,,,,
1954-01-28,-22.4,-27.5,-18.5,0.9,,,,,,
1954-01-29,-15.8,-20.5,-10.8,0.3,,,,,,
1954-01-30,-17.9,-22.6,-14.1,0.2,,,,,,
1954-01-31,-26.5,-31.0,-22.0,,,,,,,
1954-02-01,-25.6,-28.8,-22.1,,,,,,,
1954-02-02,-21.6,-29.6,-14.2,0.3,,,,,,
1954-02-03,-14.3,-19.9,-11.5,0.1,,,,,,
1954-02-04,-18.4,-24.4,-14.5,,,,,,,
1954-02-05,-18.4,-22.1,-14.4,,,,,,,
1954-02-06,-18.8,-22.5,-14.6,,,,,,,
1954-02-07,-20.8,-27.8,-11.5,,,,,,,
1954-02-08,-18.3,-22.5,-13.5,,,,,,,
1954-02-09,-20.0,-25.4,-15.5,,,,,,,
1954-02-10,-14.5,-17.5,-9.9,0.4,,,,,,
1954-02-11,-15.2,-18.5,-12.0,,,,,,,
1954-02-12,-14.2,-16.8,-11.6,,,,,,,
1954-02-13,-15.4,-20.2,-10.8,,,,,,,
1954-02-14,-13.2,-16.5,-8.2,,,,,,,
1954-02-15,-8.5,-11.8,-5.5,,,,,,,
1954-02-16,-10.6,-16.5,-7.6,,,,,,,
1954-02-17,-20.1,-24.8,-15.4,,,,,,,
1954-02-18,-19.8,-22.3,-13.5,,,,,,,
1954-02-19,-23.5,-29.4,-18.0,,,,,,,
1954-02-20,-21.3,-27.6,-13.0,,,,,,,
1954-02-21,-15.7,-24.5,-6.5,,,,,,,
1954-02-22,-18.0,-22.8,-10.5,,,,,,,
1954-02-23,-13.9,-18.9,-8.8,,,,,,,
1954-02-24,-14.7,-17.1,-10.8,,,,,,,
1954-02-25,-15.9,-19.0,-12.1,,,,,,,
1954-02-26,-14.0,-16.1,-11.8,4.9,,,,,,
1954-02-27,-10.4,-15.6,-9.0,,,,,,,
1954-02-28,-9.8,-12.1,-7.7,,,,,,,
1954-03-01,-7.0,-11.7,-1.5,2.2,,,,,,
1954-03-02,-6.9,-9.8,-2.5,,,,,,,
1954-03-03,-6.3,-10.7,-1.1,,,,,,,
1954-03-04,-4.1,-6.5,-1.3,,,,,,,
1954-03-05,-3.6,-5.6,-1.3,,,,,,,
1954-03-06,-3.0,-5.7,-1.7,0.1,,,,,,
1954-03-07,-6.0,-8.1,-3.0,0.7,,,,,,
1954-03-08,-4.1,-5.4,-3.4,,,,,,,
1954-03-09,-3.4,-5.1,-1.0,0.9,,,,,,
1954-03-10,-4.2,-6.6,-1.7,0.6,,,,,,
1954-03-11,-4.8,-6.6,-1.0,,,,,,,
1954-03-12,-5.1,-8.6,-1.2,,,,,,,
1954-03-13,-2.2,-3.6,,,,,,,,
1954-03-14,-3.0,-6.9,,,,,,,,
1954-03-15,-4.7,-9.1,0.3,0.1,,,,,,
1954-03-16,-2.4,-5.0,-1.2,,,,,,,
1954-03-17,-0.9,-2.6,1.3,,,,,,,
1954-03-18,-2.6,-7.2,1.5,,,,,,,
1954-03-19,-0.1,-2.0,1.8,0.7,,,,,,
1954-03-20,-6.4,-9.8,1.5,,,,,,,
1954-03-21,-4.0,-9.1,1.5,,,,,,,
1954-03-22,-1.8,-6.2,3.0,,,,,,,
1954-03-23,-0.2,-3.9,3.1,,,,,,,
1954-03-24,0.8,-2.3,5.0,,,,,,,
1954-03-25,0.9,-2.6,5.6,,,,,,,
1954-03-26,1.8,-0.8,6.8,0.2,,,,,,
1954-03-27,1.8,-1.4,6.3,,,,,,,
1954-03-28,3.3,2.2,4.4,0.8,,,,,,
1954-03-29,3.2,0.9,5.5,2.7,,,,,,
1954-03-30,1.8,-0.6,4.4,,,,,,,
1954-03-31,1.5,-0.1,3.9,,,,,,,
1954-04-01,0.5,-1.4,3.2,,,,,,,
1954-04-02,1.6,-2.4,6.0,,,,,,,
1954-04-03,2.9,-1.6,8.5,,,,,,,
1954-04-04,0.8,-0.1,5.6,0.5,,,,,,
1954-04-05,2.6,0.2,6.0,0.6,,,,,,
1954-04-06,4.3,-1.6,10.8,,,,,,,
1954-04-07,7.4,0.5,14.8,,,,,,,
1954-04-08,8.8,4.1,16.6,,,,,,,
1954-04-09,4.1,2.8,8.2,,,,,,,
1954-04-10,1.7,-2.5,6.9,,,,,,,
1954-04-11,0.7,-1.8,3.8,4.9,,,,,,
1954-04-12,1.2,-2.1,6.0,,,,,,,
1954-04-13,3.0,-0.6,8.2,,,,,,,
1954-04-14,2.4,-3.6,8.8,0.1,,,,,,
1954-04-15,4.7,-0.5,11.3,,,,,,,
1954-04-16,6.8,2.5,10.9,,,,,,,
1954-04-17,12.0,7.0,17.8,,,,,,,
1954-04-18,9.5,4.9,14.5,,,,,,,
1954-04-19,11.8,5.8,19.4,,,,,,,
1954-04-20,12.1,7.1,17.0,1.1,,,,,,
1954-04-21,11.1,8.0,15.4,2.1,,,,,,
1954-04-22,9.3,5.5,14.5,0.6,,,,,,
1954-04-23,4.8,2.7,10.2,,,,,,,
1954-04-24,3.3,-3.2,9.8,,,,,,,
1954-04-25,6.3,0.9,11.9,,,,,,,
1954-04-26,4.9,1.1,9.1,2.5,,,,,,
1954-04-27,4.4,-0.3,10.4,1.0,,,,,,
1954-04-28,1.6,0.1,5.7,11.8,,,,,,
1954-04-29,5.4,0.8,10.5,,,,,,,
1954-04-30,8.6,3.0,14.2,,,,,,,
1954-05-01,15.0,6.6,23.3,3.0,,,,,,
1954-05-02,20.0,12.1,29.3,,,,,,,
1954-05-03,20.0,14.8,27.7,0.7,,,,,,
1954-05-04,20.9,12.7,28.9,,,,,,,
1954-05-05,21.4,13.2,28.2,,,,,,,
1954-05-06,21.2,12.8,27.8,,,,,,,
1954-05-07,21.3,12.0,27.5,,,,,,,
1954-05-08,20.1,13.9,25.8,,,,,,,
1954-05-09,19.7,15.0,25.4,,,,,,,
1954-05-10,20.4,15.2,25.5,,,,,,,
1954-05-11,17.1,11.4,25.5,,,,,,,
1954-05-12,14.7,9.3,20.3,,,,,,,
1954-05-13,12.9,8.8,17.5,,,,,,,
1954-05-14,8.0,3.6,13.9,,,,,,,
1954-05-15,9.9,1.3,16.1,,,,,,,
1954-05-16,10.8,3.3,16.4,,,,,,,
1954-05-17,12.4,9.3,16.2,5.0,,,,,,
1954-05-18,14.0,9.3,19.4,0.1,,,,,,
1954-05-19,16.3,9.7,22.7,,,,,,,
1954-05-20,21.2,14.3,27.5,,,,,,,
1954-05-21,20.8,15.4,26.5,2.7,,,,,,
1954-05-22,16.5,13.2,23.8,11.2,,,,,,
1954-05-23,16.4,14.0,19.5,1.1,,,,,,
1954-05-24,15.0,13.1,19.3,,,,,,,
1954-05-25,15.5,12.2,20.2,1.8,,,,,,
1954-05-26,17.1,12.9,24.0,0.2,,,,,,
1954-05-27,16.4,11.5,23.4,1.9,,,,,,
1954-05-28,17.2,12.1,24.1,7.4,,,,,,
1954-05-29,17.2,13.3,22.0,2.1,,,,,,
1954-05-30,15.0,13.8,17.4,5.3,,,,,,
1954-05-31,14.7,7.6,23.0,5.6,,,,,,
1954-06-01,18.7,13.0,25.5,,,,,,,
1954-06-02,20.7,15.6,27.3,,,,,,,
1954-06-03,20.4,16.6,26.8,,,,,,,
1954-06-04,14.4,10.5,20.0,27.3,,,,,,
1954-06-05,12.0,5.8,16.7,,,,,,,
1954-06-06,15.5,8.0,22.0,,,,,,,
1954-06-07,18.1,11.2,23.4,,,,,,,
1954-06-08,19.9,13.3,25.9,,,,,,,
1954-06-09,21.9,14.8,26.9,,,,,,,
1954-06-10,23.4,14.9,28.9,,,,,,,
1954-06-11,24.2,15.2,29.5,,,,,,,
1954-06-12,23.3,16.1,29.5,0.1,,,,,,
1954-06-13,20.7,18.0,25.1,3.5,,,,,,
1954-06-14,22.8,16.8,29.7,,,,,,,
1954-06-15,25.2,19.7,30.8,0.5,,,,,,
1954-06-16,27.4,18.8,33.8,,,,,,,
1954-06-17,28.0,18.4,35.3,,,,,,,
1954-06-18,25.7,19.9,32.1,,,,,,,
1954-06-19,24.9,17.8,31.7,,,,,,,
1954-06-20,25.4,19.8,30.4,,,,,,,
1954-06-21,24.4,16.9,30.0,,,,,,,
1954-06-22,24.3,15.3,30.1,,,,,,,
1954-06-23,26.0,15.8,32.9,,,,,,,
1954-06-24,27.8,17.8,34.4,,,,,,,
1954-06-25,25.8,20.6,33.1,,,,,,,
1954-06-26,27.5,19.3,33.5,,,,,,,
1954-06-27,27.9,17.4,34.4,,,,,,,
1954-06-28,27.2,21.2,32.3,,,,,,,
1954-06-29,27.4,20.2,33.4,,,,,,,
1954-06-30,29.2,23.0,35.4,,,,,,,
1954-07-01,25.9,20.3,34.7,17.0,,,,,,
1954-07-02,23.0,17.9,27.3,9.5,,,,,,
1954-07-03,25.2,19.4,31.1,,,,,,,
1954-07-04,27.3,19.9,34.4,,,,,,,
1954-07-05,25.1,17.8,32.5,16.7,,,,,,
1954-07-06,24.2,19.8,29.3,,,,,,,
1954-07-07,20.8,18.2,25.9,4.8,,,,,,
1954-07-08,24.7,17.9,33.6,,,,,,,
1954-07-09,28.2,21.0,35.4,,,,,,,
1954-07-10,25.8,20.8,30.9,,,,,,,
1954-07-11,24.6,19.2,32.2,5.3,,,,,,
1954-07-12,21.8,16.4,26.3,20.6,,,,,,
1954-07-13,22.8,16.6,28.0,,,,,,,
1954-07-14,22.7,18.8,29.6,,,,,,,
1954-07-15,21.1,17.8,25.0,0.8,,,,,,
1954-07-16,20.0,17.3,23.4,23.8,,,,,,
1954-07-17,20.1,15.6,25.5,,,,,,,
1954-07-18,19.3,15.8,24.5,0.3,,,,,,
1954-07-19,21.6,13.9,27.7,,,,,,,
1954-07-20,23.3,17.0,29.4,,,,,,,
1954-07-21,18.5,16.8,25.6,23.2,,,,,,
1954-07-22,19.0,12.9,23.9,,,,,,,
1954-07-23,20.2,12.8,26.1,,,,,,,
1954-07-24,21.9,14.3,28.3,,,,,,,
1954-07-25,19.3,15.0,23.1,,,,,,,
1954-07-26,17.8,11.2,24.6,,,,,,,
1954-07-27,20.5,17.5,26.7,2.0,,,,,,
1954-07-28,19.2,15.0,24.4,,,,,,,
1954-07-29,21.3,15.2,27.5,,,,,,,
1954-07-30,23.3,18.8,29.6,17.5,,,,,,
1954-07-31,20.5,14.6,26.0,,,,,,,
1954-08-01,26.7,18.4,35.5,,,,,,,
1954-08-02,20.4,15.6,30.7,,,,,,,
1954-08-03,18.3,10.7,24.8,,,,,,,
1954-08-04,22.3,13.3,29.8,,,,,,,
1954-08-05,24.8,16.9,32.2,,,,,,,
1954-08-06,24.2,15.9,32.0,,,,,,,
1954-08-07,22.7,15.2,28.1,,,,,,,
1954-08-08,21.2,12.2,28.7,,,,,,,
1954-08-09,24.3,13.9,31.4,,,,,,,
1954-08-10,25.4,17.9,32.1,,,,,,,
1954-08-11,25.0,18.6,31.7,,,,,,,
1954-08-12,21.3,19.7,28.7,0.3,,,,,,
1954-08-13,19.7,16.2,25.3,15.0,,,,,,
1954-08-14,20.0,12.4,27.6,,,,,,,
1954-08-15,25.1,17.8,32.3,,,,,,,
1954-08-16,26.4,17.8,34.1,,,,,,,
1954-08-17,27.0,16.7,35.2,,,,,,,
1954-08-18,27.0,20.2,32.4,,,,,,,
1954-08-19,26.4,19.2,33.3,,,,,,,
1954-08-20,24.6,21.1,30.7,,,,,,,
1954-08-21,20.2,17.2,25.7,,,,,,,
1954-08-22,16.4,14.6,20.4,1.4,,,,,,
1954-08-23,19.1,12.2,27.3,0.2,,,,,,
1954-08-24,21.6,13.0,28.7,,,,,,,
1954-08-25,24.8,17.2,31.5,,,,,,,
1954-08-26,24.0,20.9,30.1,,,,,,,
1954-08-27,17.0,14.5,23.1,2.0,,,,,,
1954-08-28,18.4,16.2,23.4,3.1,,,,,,
1954-08-29,18.6,15.3,26.6,0.7,,,,,,
1954-08-30,17.2,14.4,20.9,37.1,,,,,,
1954-08-31,16.1,11.3,21.4,0.1,,,,,,
1954-09-01,14.9,12.1,19.4,0.2,,,,,,
1954-09-02,14.8,10.6,20.2,,,,,,,
1954-09-03,14.6,8.7,22.1,,,,,,,
1954-09-04,17.7,9.2,26.7,,,,,,,
1954-09-05,18.6,15.0,24.1,,,,,,,
1954-09-06,18.2,12.3,25.0,,,,,,,
1954-09-07,19.4,10.5,27.6,,,,,,,
1954-09-08,20.2,12.9,28.4,,,,,,,
1954-09-09,19.5,14.3,25.5,,,,,,,
1954-09-10,17.6,14.7,22.1,,,,,,,
1954-09-11,15.2,8.1,22.7,,,,,,,
1954-09-12,17.6,9.1,25.9,,,,,,,
1954-09-13,19.7,13.3,27.3,,,,,,,
1954-09-14,19.6,14.4,24.8,,,,,,,
1954-09-15,17.8,9.5,26.1,,,,,,,
1954-09-16,20.6,14.2,29.4,,,,,,,
1954-09-17,18.0,10.3,26.4,,,,,,,
1954-09-18,18.2,13.0,24.6,,,,,,,
1954-09-19,14.8,11.8,20.2,0.8,,,,,,
1954-09-20,12.4,6.5,20.4,0.1,,,,,,
1954-09-21,16.2,11.1,23.4,5.2,,,,,,
1954-09-22,20.9,15.2,28.4,,,,,,,
1954-09-23,18.3,13.0,24.0,,,,,,,
1954-09-24,12.4,10.2,20.0,9.2,,,,,,
1954-09-25,10.0,5.4,15.3,0.1,,,,,,
1954-09-26,8.9,2.3,16.5,,,,,,,
1954-09-27,10.3,3.8,18.8,,,,,,,
1954-09-28,13.4,8.2,20.7,,,,,,,
1954-09-29,9.2,3.1,16.1,1.4,,,,,,
1954-09-30,16.2,8.9,25.0,0.1,,,,,,
1954-10-01,9.4,7.4,20.9,0.7,,,,,,
1954-10-02,7.5,5.2,11.3,,,,,,,
1954-10-03,4.7,-0.2,11.1,,,,,,,
1954-10-04,5.4,4.2,7.3,3.1,,,,,,
1954-10-05,4.8,1.9,8.3,0.8,,,,,,
1954-10-06,4.1,1.4,6.7,12.7,,,,,,
1954-10-07,3.9,0.1,7.5,,,,,,,
1954-10-08,5.6,3.3,8.4,14.0,,,,,,
1954-10-09,5.2,3.6,7.8,13.2,,,,,,
1954-10-10,3.5,0.5,6.6,,,,,,,
1954-10-11,5.0,1.3,7.9,,,,,,,
1954-10-12,7.4,5.1,9.7,7.5,,,,,,
1954-10-13,10.4,7.6,14.6,1.7,,,,,,
1954-10-14,8.6,4.8,14.3,,,,,,,
1954-10-15,9.6,5.1,14.5,,,,,,,
1954-10-16,11.2,7.6,16.7,,,,,,,
1954-10-17,10.9,6.9,16.7,,,,,,,
1954-10-18,7.4,4.2,12.2,,,,,,,
1954-10-19,8.0,2.9,14.1,12.5,,,,,,
1954-10-20,10.3,2.3,20.2,0.2,,,,,,
1954-10-21,11.8,9.7,16.2,,,,,,,
1954-10-22,10.7,6.7,16.4,,,,,,,
1954-10-23,10.2,7.0,14.0,0.2,,,,,,
1954-10-24,10.0,7.7,14.2,,,,,,,
1954-10-25,7.5,1.3,15.1,,,,,,,
1954-10-26,9.2,3.7,16.3,,,,,,,
1954-10-27,10.3,6.4,16.6,0.5,,,,,,
1954-10-28,10.5,8.7,12.0,1.6,,,,,,
1954-10-29,7.0,5.5,11.6,0.3,,,,,,
1954-10-30,3.2,,7.4,,,,,,,
1954-10-31,0.4,-1.9,5.7,,,,,,,
1954-11-01,3.9,-0.2,10.1,,,,,,,
1954-11-02,4.2,1.0,6.7,,,,,,,
1954-11-03,5.6,4.1,6.7,,,,,,,
1954-11-04,6.2,2.8,11.2,,,,,,,
1954-11-05,7.2,4.3,10.4,,,,,,,
1954-11-06,6.3,4.8,8.8,,,,,,,
1954-11-07,7.2,3.5,11.4,,,,,,,
1954-11-08,5.1,3.8,7.1,,,,,,,
1954-11-09,7.6,4.0,10.4,3.3,,,,,,
1954-11-10,9.1,7.5,10.2,1.4,,,,,,
1954-11-11,8.6,7.2,9.6,,,,,,,
1954-11-12,9.2,7.8,11.5,0.5,,,,,,
1954-11-13,8.3,4.8,10.4,,,,,,,
1954-11-14,9.2,7.7,10.5,10.6,,,,,,
1954-11-15,8.2,7.1,9.5,5.0,,,,,,
1954-11-16,5.3,4.2,7.6,0.1,,,,,,
1954-11-17,2.2,1.1,4.9,5.1,,,,,,
1954-11-18,1.2,0.7,2.3,,,,,,,
1954-11-19,2.8,0.4,5.4,9.7,,,,,,
1954-11-20,6.6,5.2,7.7,0.7,,,,,,
1954-11-21,2.8,0.8,5.9,0.9,,,,,,
1954-11-22,-1.3,-3.1,1.1,,,,,,,
1954-11-23,-4.2,-5.8,-1.5,,,,,,,
1954-11-24,-5.9,-6.9,-2.6,,,,,,,
1954-11-25,-6.8,-10.0,-4.5,,,,,,,
1954-11-26,-8.5,-11.9,-4.8,,,,,,,
1954-11-27,-5.9,-10.0,-2.7,,,,,,,
1954-11-28,-5.6,-8.0,-2.9,,,,,,,
1954-11-29,-5.6,-9.0,-0.5,,,,,,,
1954-11-30,-4.8,-9.1,-1.0,,,,,,,
